Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
18935000;25-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;26-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;27-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;28-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;29-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 10:00:00;946.00;;0.00;;;;;;
18935000;30-04/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;30-04/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;01-05/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;02-05/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;03-05/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 03:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 04:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 05:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 06:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 07:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 08:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 09:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 10:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 11:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 12:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 13:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 14:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 15:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 16:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 17:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 18:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 19:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 20:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 21:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 22:00:00;1255.00;;0.00;;;;;;
18935000;04-05/2023 23:00:00;1255.00;;0.00;;;;;;
18935000;05-05/2023 00:00:00;1255.00;;0.00;;;;;;
18935000;05-05/2023 01:00:00;1255.00;;0.00;;;;;;
18935000;05-05/2023 02:00:00;1255.00;;0.00;;;;;;
18935000;05-05/2023 03:00:00;1255.00;;0.00;;;;;;
